"ID"|"SRC_SYS_NAME"|"PPN_DTTM"|"SRC_FILE_OR_TBL_NAME"|"SRC_DATA_COUNT"|"TRG_DATA_COUNT"|"PRC_DT"|"JOB_ID"|"START_DATE"|"FINISHED_DATE"|"TRG_TBL_NAME"|"CATEGORY"|"DT_PR"
|"SEQ_MAIN_CW_JOB_AG001"|"2020-07-13 17:12:40"|"AG001"|5917|5917|"20200305"|"20200713171101"|"2020-07-13 17:11:01"|"2020-07-13 17:12:40"|"EDW_STG.CW_AG001"|"CARDWORK"|"20200304"
|"SEQ_MAIN_CW_JOB_AM009"|"2020-07-13 17:19:59"|"AM009"|31104|31104|"20200305"|"20200713171815"|"2020-07-13 17:18:15"|"2020-07-13 17:19:59"|"EDW_STG.CW_AM009"|"CARDWORK"|"20200304"
|"SEQ_MAIN_CW_JOB_AM014"|"2020-07-13 17:30:35"|"AM014"|3666|3666|"20200305"|"20200713172857"|"2020-07-13 17:28:57"|"2020-07-13 17:30:35"|"EDW_STG.CW_AM014"|"CARDWORK"|"20200304"
|"SEQ_MAIN_CW_JOB_AM037"|"2020-07-13 17:37:40"|"AM037"|1735|1735|"20200305"|"20200713173606"|"2020-07-13 17:36:06"|"2020-07-13 17:37:40"|"EDW_STG.CW_AM037"|"CARDWORK"|"20200304"
|"SEQ_MAIN_CW_JOB_AM047"|"2020-07-13 18:05:43"|"AM047"|884|884|"20200305"|"20200713180406"|"2020-07-13 18:04:06"|"2020-07-13 18:05:43"|"EDW_STG.CW_AM047"|"CARDWORK"|"20200304"
|"SEQ_MAIN_CW_JOB_AP018"|"2020-07-13 18:07:56"|"AP018"|235|235|"20200305"|"20200713180605"|"2020-07-13 18:06:05"|"2020-07-13 18:07:56"|"EDW_STG.CW_AP018"|"CARDWORK"|"20200304"
|"SEQ_MAIN_CW_JOB_OA288"|"2020-07-13 18:12:01"|"OA288"|54814|54810|"20200305"|"20200713180959"|"2020-07-13 18:09:59"|"2020-07-13 18:12:01"|"EDW_STG.CW_OA288"|"CARDWORK"|"20200304"
|"SEQ_MAIN_CW_JOB_AP047"|"2020-07-13 18:12:02"|"AP047"|451|451|"20200305"|"20200713181033"|"2020-07-13 18:10:33"|"2020-07-13 18:12:02"|"EDW_STG.CW_AP047"|"CARDWORK"|"20200304"
|"SEQ_MAIN_CW_JOB_AP051"|"2020-07-13 18:20:58"|"AP051"|14687|14687|"20200305"|"20200713181920"|"2020-07-13 18:19:20"|"2020-07-13 18:20:58"|"EDW_STG.CW_AP051"|"CARDWORK"|"20200304"
|"SEQ_MAIN_CW_JOB_BI004"|"2020-07-13 18:37:24"|"BI004"|2197|2197|"20200305"|"20200713183552"|"2020-07-13 18:35:52"|"2020-07-13 18:37:24"|"EDW_STG.CW_BI004"|"CARDWORK"|"20200304"
|"SEQ_MAIN_CW_JOB_BI005"|"2020-07-14 13:47:09"|"BI005"|2197|2197|"20200305"|"20200714134534"|"2020-07-14 13:45:34"|"2020-07-14 13:47:09"|"EDW_STG.CW_BI005"|"CARDWORK"|"20200304"
|"SEQ_MAIN_CW_JOB_BI019"|"2020-07-14 13:54:12"|"BI019"|227|227|"20200305"|"20200714135136"|"2020-07-14 13:51:36"|"2020-07-14 13:54:12"|"EDW_STG.CW_BI019"|"CARDWORK"|"20200304"
|"SEQ_MAIN_CW_JOB_IB006"|"2020-07-14 14:17:46"|"IB006"|2248278|2248277|"20200305"|"20200714135713"|"2020-07-14 13:57:13"|"2020-07-14 14:17:46"|"EDW_STG.CW_IB006"|"CARDWORK"|"20200304"
|"SEQ_MAIN_CW_JOB_IG001"|"2020-07-14 14:44:03"|"IG001"|844|844|"20200305"|"20200714144159"|"2020-07-14 14:41:59"|"2020-07-14 14:44:03"|"EDW_STG.CW_IG001"|"CARDWORK"|"20200304"
|"SEQ_MAIN_CW_JOB_IG014"|"2020-07-14 14:52:07"|"IG014"|5|5|"20200305"|"20200714144642"|"2020-07-14 14:46:42"|"2020-07-14 14:52:07"|"EDW_STG.CW_IG014"|"CARDWORK"|"20200304"
|"SEQ_MAIN_CW_JOB_II032"|"2020-07-15 12:00:53"|"II032"|102|102|"20200305"|"20200715115910"|"2020-07-15 11:59:10"|"2020-07-15 12:00:53"|"EDW_STG.CW_II032"|"CARDWORK"|"20200304"
|"SEQ_MAIN_CW_JOB_AM035"|"2020-07-29 16:58:04"|"AM035"|23|23|"20200305"|"20200729165610"|"2020-07-29 16:56:10"|"2020-07-29 16:58:04"|"EDW_STG.CW_AM035"|"CARDWORK"|"20200304"
|"SEQ_MAIN_CW_JOB_AP018"|"2020-08-12 03:45:27"|"AP018"|115|115|"20200812"|"20200812034325"|"2020-08-12 03:43:25"|"2020-08-12 03:45:27"|"EDW_STG.CW_AP018"|"CARDWORK"|"20200811"
|"SEQ_MAIN_CW_JOB_IR166"|"2020-08-12 03:56:18"|"IR166"|25496|25496|"20200812"|"20200812035405"|"2020-08-12 03:54:05"|"2020-08-12 03:56:18"|"EDW_STG.CW_IR166"|"CARDWORK"|"20200304"
|"SEQ_MAIN_CW_JOB_IR275"|"2020-08-12 03:56:18"|"IR275"|25496|25496|"20200812"|"20200812035405"|"2020-08-12 03:54:05"|"2020-08-12 03:56:18"|"EDW_STG.CW_IR275"|"CARDWORK"|"20200304"
|"SEQ_MAIN_CW_JOB_IR089"|"2020-08-12 03:56:18"|"IR089"|25496|25496|"20200812"|"20200812035405"|"2020-08-12 03:54:05"|"2020-08-12 03:56:18"|"EDW_STG.CW_IR089"|"CARDWORK"|"20200304"
|"SEQ_MAIN_CW_JOB_IR025"|"2020-08-12 03:56:18"|"IR025"|25496|25496|"20200305"|"20200812035405"|"2020-08-12 03:54:05"|"2020-08-12 03:56:18"|"EDW_STG.CW_IR025"|"CARDWORK"|"20200304"
|"SEQ_MAIN_CW_JOB_IR170"|"2020-08-12 04:00:29"|"IR170"|1|1|"20200812"|"20200812035844"|"2020-08-12 03:58:44"|"2020-08-12 04:00:29"|"EDW_STG.CW_IR170"|"CARDWORK"|"20200811"
|"SEQ_MAIN_CW_JOB_IR514"|"2020-08-12 04:02:32"|"IR514"|35|35|"20200812"|"20200812040050"|"2020-08-12 04:00:50"|"2020-08-12 04:02:32"|"EDW_STG.CW_IR514"|"CARDWORK"|"20200811"
|"SEQ_MAIN_CW_JOB_IRC02"|"2020-08-12 04:05:17"|"IRC02"|917|917|"20200812"|"20200812040307"|"2020-08-12 04:03:07"|"2020-08-12 04:05:17"|"EDW_STG.CW_IRC02"|"CARDWORK"|"20200811"
|"SEQ_MAIN_CW_JOB_IR169"|"2020-08-12 04:30:14"|"IR169"|0|0|"20200812"|"20200812042852"|"2020-08-12 04:28:52"|"2020-08-12 04:30:14"|"EDW_STG.CW_IR169"|"CARDWORK"|"20200811"
|"SEQ_MAIN_CW_JOB_AP018"|"2020-08-18 03:27:23"|"AP018"|178|178|"20200818"|"20200818032526"|"2020-08-18 03:25:26"|"2020-08-18 03:27:23"|"EDW_STG.CW_AP018"|"CARDWORK"|"20200817"
|"SEQ_MAIN_CW_JOB_IR169"|"2020-08-18 03:40:58"|"IR169"|0|0|"20200818"|"20200818033937"|"2020-08-18 03:39:37"|"2020-08-18 03:40:58"|"EDW_STG.CW_IR169"|"CARDWORK"|"20200817"
|"SEQ_MAIN_CW_JOB_IR170"|"2020-08-18 03:41:45"|"IR170"|0|0|"20200818"|"20200818034018"|"2020-08-18 03:40:18"|"2020-08-18 03:41:45"|"EDW_STG.CW_IR170"|"CARDWORK"|"20200817"
|"SEQ_MAIN_CW_JOB_IR514"|"2020-08-18 03:44:32"|"IR514"|0|0|"20200818"|"20200818034249"|"2020-08-18 03:42:49"|"2020-08-18 03:44:32"|"EDW_STG.CW_IR514"|"CARDWORK"|"20200817"
|"SEQ_MAIN_CW_JOB_IRC02"|"2020-08-18 03:47:28"|"IRC02"|352|352|"20200818"|"20200818034514"|"2020-08-18 03:45:14"|"2020-08-18 03:47:28"|"EDW_STG.CW_IRC02"|"CARDWORK"|"20200817"
|"SEQ_MAIN_CW_JOB_OA008"|"2020-08-18 03:49:33"|"OA008"|479|479|"20200818"|"20200818034719"|"2020-08-18 03:47:19"|"2020-08-18 03:49:33"|"EDW_STG.CW_OA008"|"CARDWORK"|"20200817"
|"SEQ_MAIN_CW_JOB_IR134"|"2020-08-18 03:55:03"|"IR134"|25417|25417|"20200818"|"20200818035253"|"2020-08-18 03:52:53"|"2020-08-18 03:55:03"|"EDW_STG.CW_IR134"|"CARDWORK"|"20200817"
|"SEQ_MAIN_CW_JOB_AP018"|"2020-08-27 03:24:28"|"AP018"|155|155|"20200827"|"20200827032011"|"2020-08-27 03:20:11"|"2020-08-27 03:24:28"|"EDW_STG.CW_AP018"|"CARDWORK"|"20200826"
|"SEQ_MAIN_CW_JOB_IR134"|"2020-08-27 03:34:32"|"IR134"|25420|25420|"20200827"|"20200827033102"|"2020-08-27 03:31:02"|"2020-08-27 03:34:32"|"EDW_STG.CW_IR134"|"CARDWORK"|"20200826"
|"SEQ_MAIN_CW_JOB_IR169"|"2020-08-27 03:34:25"|"IR169"|0|0|"20200827"|"20200827033156"|"2020-08-27 03:31:56"|"2020-08-27 03:34:25"|"EDW_STG.CW_IR169"|"CARDWORK"|"20200826"
|"SEQ_MAIN_CW_JOB_IR170"|"2020-08-27 03:35:10"|"IR170"|1|1|"20200827"|"20200827033156"|"2020-08-27 03:31:56"|"2020-08-27 03:35:10"|"EDW_STG.CW_IR170"|"CARDWORK"|"20200826"
